trial_number,bit_width,group_size,model_type,context_question,question_type,evaluation,perplexity,rmse_key,rmse_value
0,3.0,128,Compressed,How does the memory bandwidth efficiency of an NVIDIA Blackwell H200 GPU compare to an AMD Instinct MI300X accelerator when running FP4 inference routines?,out-of-scope,0.0,16.715587615966797,0.8051418662071228,0.1326272040605545
1,3.0,128,Compressed,What are the current pricing brackets and infrastructure costs for running distributed Kubernetes training nodes on Amazon Web Services clusters?,out-of-scope,0.0,18.061952590942383,0.8211426138877869,0.1320111602544784
2,3.0,128,Compressed,How do you configure a physical Cisco Nexus switch environment to optimize low-latency RDMA over Converged Edge traffic?,out-of-scope,0.0,17.468059539794922,0.8187292814254761,0.1336128413677215
3,3.0,128,Compressed,What are the exact regulatory compliance steps needed to secure health data under the European Union GDPR guidelines when deploying medical imaging models?,out-of-scope,1.0,17.56438636779785,0.768476128578186,0.1324433535337448
4,3.0,128,Compressed,Can you provide the complete full-stack C++ implementation for a custom CUDA kernel executing fused flash attention on specialized edge computing hardware?,out-of-scope,0.0,19.81081962585449,0.8031070232391357,0.133057415485382
5,3.0,128,Compressed,What are the corporate revenue metrics and market capitalization projections for deep learning infrastructure providers in the coming fiscal year?,out-of-scope,0.0,16.809171676635742,0.8159302473068237,0.132488414645195
0,3.0,128,Compressed,What are the step-by-step procedures required to obtain a CE certification for an AI-based medical diagnostic device under EU MDR 2017/745 regulations?,out-of-scope,0.0,14.266419410705566,0.8022631406784058,0.1326972693204879
1,3.0,128,Compressed,How does the real-time options pricing engine used by Goldman Sachs differ architecturally from the one deployed by JPMorgan Chase for derivatives trading?,out-of-scope,0.0,15.093910217285156,0.8164637088775635,0.1335361748933792
2,3.0,128,Compressed,What are the current SLA guarantees and throughput benchmarks for Google Cloud TPU v5e pods running large-scale distributed training workloads?,out-of-scope,0.0,16.894336700439453,0.815946102142334,0.1334138363599777
3,3.0,128,Compressed,How do you configure a high-availability active-passive failover cluster using Pacemaker and Corosync on a bare-metal Ubuntu server running production inference services?,out-of-scope,0.0,14.764508247375488,0.798759937286377,0.1326431781053543
4,3.0,128,Compressed,What are the intellectual property licensing obligations when integrating open-source Llama 3 model weights into a commercially deployed SaaS product?,out-of-scope,0.0,16.9153995513916,0.8186529278755188,0.1320800632238388
5,3.0,128,Compressed,Which specific tax treatment applies to equity-settled share-based compensation under IFRS 2 for AI startup employees holding unvested restricted stock units across multiple jurisdictions?,out-of-scope,0.0,15.22109317779541,0.8112413883209229,0.1333686709403991
6,3.0,128,Compressed,What is the end-to-end hardware bill of materials required to assemble a petascale neuromorphic computing cluster optimized for spiking neural network inference?,out-of-scope,0.0,14.620031356811523,0.790982723236084,0.133535698056221
7,3.0,128,Compressed,How does the carbon footprint accounting methodology used by Microsoft for its Azure AI infrastructure differ from that used by Amazon Web Services for equivalent GPU cluster workloads?,out-of-scope,0.0,16.404319763183594,0.7951127886772156,0.132175326347351
8,3.0,128,Compressed,What specific network topology and InfiniBand fabric configuration is recommended for a 512-node NVIDIA DGX H100 cluster to maximize all-reduce collective communication bandwidth?,out-of-scope,0.0,15.578720092773438,0.8158736824989319,0.132236361503601
0,3.0,128,Compressed,How do the parameter initialization bounds described in Section 8 intersect with the optimization dynamics of Adam versus SGD with Momentum as covered in the text?,cross-reference,0.0,11.781621932983398,0.819450855255127,0.133149579167366
1,3.0,128,Compressed,Analyze how applying Dropout regularization during training impacts the downstream tracking behavior of Batch Normalization layers during model evaluation.,cross-reference,0.0,9.106057167053224,0.8329107761383057,0.1322931349277496
2,3.0,128,Compressed,Trace how the geometric assumptions of Convex Optimization Theory map onto the specific empirical loss landscapes observed in deep Convolutional Networks.,cross-reference,0.0,13.080129623413086,0.8110847473144531,0.1315606087446212
3,3.0,128,Compressed,Contrast the structural approach to handling exploding gradients inside recurrent layouts (like GRUs) against how feedforward networks (like Transformers) handle them using attention structures.,cross-reference,0.0,10.943960189819336,0.8163958191871643,0.1322295367717743
4,3.0,128,Compressed,How do the theoretical capacity limits discussed in Generalization Theory affect the decision to apply dimensionality reduction strategies like PCA before training a deep neural network?,cross-reference,0.0,13.006832122802734,0.8031182289123535,0.1328605413436889
5,3.0,128,Compressed,Explain the interaction between the cross-entropy loss function properties and the final classification layers across both multi-class and multi-label task setups.,cross-reference,0.0,7.274951457977295,0.8323370218276978,0.1334816962480545
0,3.0,128,Compressed,How do the probability and information theory notation definitions (entropy H[P] and KL-divergence D_KL) connect to the cross-entropy loss function used to train softmax classifiers?,cross-reference,1.0,14.827667236328123,0.8115595579147339,0.1317201107740402
1,3.0,128,Compressed,In what ways do the sparse interaction and weight-sharing properties that distinguish convolutional layers from fully connected layers relate to the covariance matrix structure exploited during PCA-based dimensionality reduction of image data?,cross-reference,1.0,13.78561305999756,0.8187342882156372,0.1321247518062591
2,3.0,128,Compressed,"How does the vanishing gradient problem identified during backpropagation through deep networks interact with the choice of Xavier initialization, and how does the GRU architecture structurally reduce reliance on proper initialization for capturing long-range dependencies?",cross-reference,0.0,14.37989902496338,0.8171723484992981,0.1323491632938385
3,3.0,128,Compressed,How are the mathematical operators defined in the notation section — specifically the Hadamard product and matrix transpose — concretely instantiated within the GRU gating equations and the scaled dot-product attention computation?,cross-reference,0.0,8.883079528808594,0.8127337694168091,0.1310926228761673
4,3.0,128,Compressed,"How does the generalization theory concept of model capacity — quantified through VC dimension — constrain the practical architecture choices of depth, width, and dropout rate when building a GRU for sequence modeling?",cross-reference,0.0,17.979331970214844,0.7734825015068054,0.132814347743988
5,3.0,128,Compressed,How do Adam's bias-correction terms interact with the gradient scale produced by Xavier initialization versus poorly scaled alternatives during the first iterations of training?,cross-reference,0.0,22.13083267211914,0.8212389945983887,0.1300050765275955
6,3.0,128,Compressed,"How do the running statistics tracked by batch normalization during training get corrupted when dropout is applied before normalization layers, and how does this manifest as a mismatch when the model is evaluated on the validation or test split?",cross-reference,1.0,8.742547988891602,0.8333622813224792,0.1320062130689621
7,3.0,128,Compressed,How does the strictly convex optimization framework — where every local minimum is a global minimum because the Hessian is positive definite everywhere — break down when ReLU activations and max-pooling are introduced in a multi-layer convolutional architecture?,cross-reference,0.0,14.040836334228516,0.8131967782974243,0.1330900490283966
8,3.0,128,Compressed,"How does the BLEU evaluation metric for sequence-to-sequence translation connect to the conditional probability notation established in the preamble, and how does the choice between Adam and SGD with momentum affect the model's ability to maximize it indirectly during training?",cross-reference,1.0,12.820120811462402,0.7945080399513245,0.1324886977672577
0,3.0,128,Compressed,What is the primary difference between a matrix and a tensor as described in the linear algebra introduction?,factual,0.0,7.399857997894287,0.822739839553833,0.1318468153476715
1,3.0,128,Compressed,What mathematical operation describes the derivative of a matrix with respect to a vector?,factual,0.0,5.8108625411987305,0.8410663604736328,0.1327454596757888
2,3.0,128,Compressed,Which optimization algorithm generalizes standard gradient descent by incorporating an exponentially decaying average of past gradients to maintain momentum?,factual,1.0,7.542524337768555,0.8299887180328369,0.1334458589553833
3,3.0,128,Compressed,What is the mathematical formulation of the dropout regularization technique applied to a hidden layer activation vector?,factual,0.0,5.967074871063232,0.8305074572563171,0.1316546648740768
4,3.0,128,Compressed,"According to the text, what specific failure mode does batch normalization alleviate during the training of deep networks?",factual,0.0,8.015217781066895,0.8249945044517517,0.1318916380405426
5,3.0,128,Compressed,What is the structural difference between standard cross-entropy loss and binary cross-entropy loss formulas?,factual,0.0,4.339846134185791,0.850356936454773,0.1337524801492691
6,3.0,128,Compressed,How is the capacity of a statistical model defined in relation to the phenomena of overfitting and underfitting?,factual,0.0,8.932686805725098,0.8380840420722961,0.1312852203845977
7,3.0,128,Compressed,What is the standard weight initialization strategy proposed by Xavier Glorot and Yoshua Bengio for deep networks using symmetric activation functions?,factual,0.0,9.14609432220459,0.8187097311019897,0.1322064250707626
8,3.0,128,Compressed,Which recurrent neural network variant explicitly relies on a reset gate and an update gate to capture long-range dependencies without a separate cell state?,factual,0.0,6.736977577209473,0.8086145520210266,0.1331965625286102
9,3.0,128,Compressed,How does multi-head attention extend the vanilla self-attention mechanism computationally?,factual,0.0,12.653460502624512,0.8195551633834839,0.1327935755252838
10,3.0,128,Compressed,What specific matrix decomposition forms the foundation for Principal Component Analysis (PCA) optimization?,factual,0.0,15.968244552612305,0.8097096085548401,0.1295887976884842
11,3.0,128,Compressed,What are the three canonical data splits required to build and evaluate a deep learning pipeline cleanly?,factual,0.0,16.421852111816406,0.7684838175773621,0.1324186623096466
12,3.0,128,Compressed,What mathematical constraint determines whether an optimization problem is considered strictly convex?,factual,0.0,7.057506561279297,0.8212182521820068,0.1336859315633773
13,3.0,128,Compressed,What structural property separates a convolutional layer from a fully connected layer regarding parameter efficiency?,factual,0.0,9.9525728225708,0.831890881061554,0.1326992958784103
14,3.0,128,Compressed,What specific formulation distinguishes Adam from the RMSProp optimizer?,factual,0.0,17.399538040161133,0.8245459794998169,0.1309674680233001
15,3.0,128,Compressed,"What phenomenon occurs when the gradients flowing backward through a deep architecture approach zero, preventing earlier layers from updating?",factual,0.0,13.212292671203612,0.8148537278175354,0.1320465505123138
